timestamp,thread,endpoint,status_code,latency_ms
1779027946899,Load Users 1-15,POST /batch mixed tasks,200,425
1779027946866,Load Users 1-26,POST /batch mixed tasks,200,459
1779027947094,Load Users 1-17,POST /batch mixed tasks,200,233
1779027947115,Load Users 1-42,GET /work random mode,200,212
1779027946775,Load Users 1-43,POST /batch mixed tasks,200,556
1779027947321,Load Users 1-72,GET /work random mode,200,16
1779027947000,Load Users 1-44,POST /batch mixed tasks,200,344
1779027947010,Load Users 1-59,POST /batch mixed tasks,200,335
1779027946814,Load Users 1-1,POST /batch mixed tasks,200,532
1779027946852,Load Users 1-47,POST /batch mixed tasks,200,496
1779027947014,Load Users 1-11,GET /work random mode,200,340
1779027947231,Load Users 1-67,POST /batch mixed tasks,200,125
1779027947168,Load Users 1-25,GET /work random mode,200,191
1779027947136,Load Users 1-31,GET /work random mode,200,224
1779027947345,Load Users 1-75,GET /work random mode,200,20
1779027947335,Load Users 1-71,GET /work random mode,200,32
1779027947200,Load Users 1-8,GET /work random mode,200,173
1779027947372,Load Users 1-20,GET /work random mode,200,3
1779027947205,Load Users 1-16,GET /work random mode,200,171
1779027947079,Load Users 1-64,POST /batch mixed tasks,200,300
1779027947218,Load Users 1-40,POST /batch mixed tasks,200,171
1779027947062,Load Users 1-5,POST /batch mixed tasks,200,332
1779027947206,Load Users 1-21,GET /work random mode,200,196
1779027947034,Load Users 1-49,POST /batch mixed tasks,200,376
1779027947255,Load Users 1-52,POST /batch mixed tasks,200,158
1779027946949,Load Users 1-56,POST /batch mixed tasks,200,475
1779027947277,Load Users 1-73,GET /work random mode,200,154
1779027947395,Load Users 1-74,GET /work random mode,200,39
1779027947281,Load Users 1-24,GET /work random mode,200,153
1779027947359,Load Users 1-19,GET /work random mode,200,77
1779027947408,Load Users 1-37,GET /work random mode,200,38
1779027947061,Load Users 1-53,GET /work random mode,200,392
1779027947395,Load Users 1-11,GET /work random mode,200,60
1779027947248,Load Users 1-55,GET /work random mode,200,216
1779027947038,Load Users 1-54,POST /batch mixed tasks,200,427
1779027947349,Load Users 1-39,POST /batch mixed tasks,200,119
1779027947358,Load Users 1-17,POST /batch mixed tasks,200,116
1779027946669,Load Users 1-28,POST /batch mixed tasks,200,806
1779027947175,Load Users 1-18,POST /batch mixed tasks,200,302
1779027947220,Load Users 1-33,POST /batch mixed tasks,200,262
1779027947410,Load Users 1-64,GET /work random mode,200,76
1779027947302,Load Users 1-6,GET /work random mode,200,189
1779027947381,Load Users 1-58,GET /work random mode,200,113
1779027947122,Load Users 1-27,POST /batch mixed tasks,200,379
1779027947208,Load Users 1-3,GET /work random mode,200,299
1779027947090,Load Users 1-9,POST /batch mixed tasks,200,422
1779027947369,Load Users 1-22,GET /work random mode,200,145
1779027947172,Load Users 1-4,POST /batch mixed tasks,200,351
1779027947073,Load Users 1-23,POST /batch mixed tasks,200,453
1779027947254,Load Users 1-51,GET /work random mode,200,276
1779027947457,Load Users 1-15,GET /work random mode,200,78
1779027947489,Load Users 1-24,GET /work random mode,200,54
1779027947522,Load Users 1-40,GET /work random mode,200,21
1779027947280,Load Users 1-70,GET /work random mode,200,286
1779027947319,Load Users 1-2,POST /batch mixed tasks,200,252
1779027947303,Load Users 1-68,POST /batch mixed tasks,200,278
1779027947572,Load Users 1-19,GET /work random mode,200,12
1779027947232,Load Users 1-7,POST /batch mixed tasks,200,363
1779027947167,Load Users 1-48,GET /work random mode,200,437
1779027947596,Load Users 1-23,GET /work random mode,200,13
1779027947510,Load Users 1-84,GET /work random mode,200,101
1779027947239,Load Users 1-50,GET /work random mode,200,374
1779027947298,Load Users 1-10,POST /batch mixed tasks,200,323
1779027947588,Load Users 1-54,GET /work random mode,200,33
1779027947589,Load Users 1-55,GET /work random mode,200,42
1779027947620,Load Users 1-15,GET /work random mode,200,11
1779027947309,Load Users 1-35,POST /batch mixed tasks,200,329
1779027947239,Load Users 1-45,POST /batch mixed tasks,200,405
1779027947451,Load Users 1-25,GET /work random mode,200,211
1779027947456,Load Users 1-78,POST /batch mixed tasks,200,212
1779027947384,Load Users 1-79,GET /work random mode,200,295
1779027947555,Load Users 1-17,GET /work random mode,200,129
1779027947448,Load Users 1-80,POST /batch mixed tasks,200,238
1779027947326,Load Users 1-60,POST /batch mixed tasks,200,361
1779027947419,Load Users 1-81,POST /batch mixed tasks,200,277
1779027947137,Load Users 1-65,GET /work random mode,200,568
1779027947162,Load Users 1-34,POST /batch mixed tasks,200,556
1779027947010,Load Users 1-57,POST /batch mixed tasks,200,711
1779027947535,Load Users 1-49,GET /work random mode,200,194
1779027947297,Load Users 1-63,POST /batch mixed tasks,200,442
1779027947453,Load Users 1-29,GET /work random mode,200,287
1779027947466,Load Users 1-62,GET /work random mode,200,277
1779027947377,Load Users 1-41,POST /batch mixed tasks,200,381
